日期／H,<0.5H,<1H,1-2H,2-3H,3-4H,4-5H,5-6H,6-7H,7-8H,8-9H,9-10H,10-11H,11-12H,12-13H,13-14H,14-15H,15-16H,16-17H,17-18H,18-19H,19-20H,20-21H,21-22H,22-23H,23-24H,>=24H,總計
2021/02/01,7,6,16,8,4,1,1,0,0,0,1,1,0,1,0,2,1,1,1,0,0,0,0,0,0,4,55
2021/02/02,10,13,11,4,2,5,0,2,1,1,0,2,0,2,3,1,0,0,0,1,0,0,1,0,0,2,61
2021/02/03,14,13,13,8,3,4,0,0,1,5,6,0,1,2,2,1,0,1,0,0,1,1,0,0,1,1,78
2021/02/04,8,8,15,10,6,2,4,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,61
2021/02/05,10,5,20,13,4,4,4,5,2,1,0,2,1,3,1,1,1,2,0,0,0,0,0,0,0,1,80
2021/02/06,8,20,20,12,12,4,2,4,3,4,0,1,2,2,1,2,3,0,0,1,0,0,0,0,0,2,103
2021/02/07,5,14,19,12,7,0,1,1,5,3,3,1,2,4,1,0,1,1,2,0,0,0,1,0,0,2,85
2021/02/08,10,10,16,6,4,3,0,2,0,0,0,3,2,0,1,2,0,1,0,0,0,1,0,0,0,3,64
2021/02/09,15,14,14,7,1,5,2,3,5,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,2,78
2021/02/10,5,11,12,10,5,3,1,0,2,1,2,2,2,1,1,2,2,1,0,0,0,0,2,1,0,3,69
2021/02/11,3,5,14,14,9,8,6,3,5,3,1,0,2,1,2,1,0,0,0,0,0,1,0,1,0,0,79
2021/02/12,4,2,6,1,11,6,3,3,4,3,1,5,2,2,1,1,2,0,0,0,0,0,1,0,1,6,65
2021/02/13,0,6,10,14,13,15,7,10,12,2,5,4,2,3,0,3,0,2,1,1,0,2,1,1,0,3,117
2021/02/14,7,1,11,8,9,6,6,5,6,2,0,4,3,1,0,1,1,0,0,0,0,0,0,0,0,1,72
2021/02/15,7,6,15,11,12,4,1,5,2,2,2,5,1,0,1,2,1,1,0,1,1,0,1,0,1,6,88
2021/02/16,4,5,18,13,10,2,1,2,4,3,1,1,0,2,3,1,0,1,2,1,0,2,0,1,2,1,80
2021/02/17,11,13,14,4,6,4,1,0,2,2,2,1,1,0,3,1,1,0,1,0,0,1,0,0,0,2,70
2021/02/18,13,16,16,6,5,2,3,2,1,4,3,0,3,0,1,0,1,1,0,0,0,1,0,0,1,4,83
2021/02/19,9,9,12,6,0,2,0,0,1,1,1,2,0,0,1,0,2,0,0,0,1,0,1,0,0,1,49
2021/02/20,9,10,16,13,9,7,0,1,1,0,1,2,0,1,2,0,2,0,0,0,1,0,3,1,0,3,82
2021/02/21,8,18,17,10,6,5,6,3,2,1,0,1,1,3,2,1,1,2,0,1,0,2,0,0,0,2,92
2021/02/22,11,11,19,5,3,7,4,2,0,1,0,4,2,2,1,0,1,0,0,0,0,0,1,0,0,1,75
2021/02/23,11,12,9,6,4,3,4,0,2,2,3,3,1,1,2,1,1,1,1,0,0,1,0,1,0,1,70
2021/02/24,10,12,21,18,6,2,1,0,0,0,0,2,1,0,2,3,2,0,0,1,0,0,0,0,0,3,84
2021/02/25,8,19,15,9,2,3,0,3,1,0,4,1,2,1,0,1,1,0,0,0,1,1,0,0,0,0,72
2021/02/26,7,11,21,11,6,1,3,1,2,3,3,3,1,3,2,0,3,0,1,0,0,0,1,1,0,0,84
2021/02/27,10,16,23,15,10,3,5,2,4,3,5,1,1,1,3,1,1,1,0,0,1,1,0,0,0,1,108
2021/02/28,2,19,20,20,5,9,3,12,9,3,1,2,3,1,3,1,3,0,0,1,2,1,0,1,0,3,124
總計,226,305,433,274,174,120,69,71,77,51,47,54,37,39,42,30,34,17,11,8,8,15,13,8,6,59,2228
