日期／H,<0.5H,<1H,1-2H,2-3H,3-4H,4-5H,5-6H,6-7H,7-8H,8-9H,9-10H,10-11H,11-12H,12-13H,13-14H,14-15H,15-16H,16-17H,17-18H,18-19H,19-20H,20-21H,21-22H,22-23H,23-24H,>=24H,總計
2020/11/01,2,6,7,3,2,1,1,0,2,0,0,1,2,1,0,1,0,1,2,0,0,0,0,0,0,4,36
2020/11/02,1,0,1,0,2,0,1,1,2,0,1,5,2,2,0,0,0,0,0,0,1,0,0,0,0,2,21
2020/11/03,4,0,0,1,2,1,3,2,2,1,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,2,26
2020/11/04,0,2,3,2,1,0,3,0,3,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,24
2020/11/05,1,1,4,1,0,0,4,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,20
2020/11/06,1,2,6,5,1,0,0,2,4,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,29
2020/11/07,0,2,6,2,2,1,0,2,3,2,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,1,27
2020/11/08,1,3,5,3,0,1,0,3,1,3,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,4,30
2020/11/09,2,1,2,3,1,2,1,0,4,0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,27
2020/11/10,1,0,2,3,2,0,1,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,23
2020/11/11,0,1,3,1,0,1,2,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,19
2020/11/12,1,1,6,3,0,2,2,1,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,25
2020/11/13,1,0,4,3,1,0,1,3,0,0,2,1,1,2,3,1,0,0,0,0,0,0,0,0,0,1,24
2020/11/14,0,0,3,1,0,0,0,1,0,1,0,4,0,0,2,1,6,1,0,0,0,0,0,0,0,2,22
2020/11/15,0,2,5,5,1,0,0,4,2,1,1,1,0,2,2,0,1,0,0,0,0,0,1,0,0,3,31
2020/11/16,2,1,0,0,0,2,1,2,1,2,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2,21
2020/11/17,0,1,3,0,1,0,2,3,1,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,20
2020/11/18,0,0,2,0,1,1,1,0,2,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,15
2020/11/19,1,1,6,3,2,1,0,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,24
2020/11/20,0,1,4,2,3,1,3,3,1,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,27
2020/11/21,0,2,5,1,1,0,0,1,2,1,3,1,0,1,0,1,0,0,1,0,0,1,1,1,0,2,25
2020/11/22,1,2,5,0,0,0,0,0,1,3,1,3,1,0,1,0,0,1,0,1,1,0,1,0,0,3,25
2020/11/23,1,1,1,3,2,1,3,1,1,1,2,4,1,0,1,0,0,0,1,0,0,1,0,0,0,3,28
2020/11/24,0,0,3,2,1,2,1,1,4,1,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,21
2020/11/25,0,0,0,0,1,3,2,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16
2020/11/26,1,1,1,1,0,3,0,1,1,1,0,2,3,0,0,1,0,0,0,0,1,0,1,0,0,2,20
2020/11/27,1,2,6,1,3,0,1,1,1,1,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,30
2020/11/28,0,4,4,4,2,2,2,3,2,0,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,1,33
2020/11/29,3,3,3,2,1,1,2,1,0,0,3,1,1,2,1,1,1,0,1,0,0,0,0,0,0,4,31
2020/11/30,2,0,1,0,1,0,0,2,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,18
總計,27,40,101,55,34,26,37,46,49,40,40,61,43,17,14,20,9,3,6,3,3,4,4,4,1,51,738
