日期／H,<0.5H,<1H,1-2H,2-3H,3-4H,4-5H,5-6H,6-7H,7-8H,8-9H,9-10H,10-11H,11-12H,12-13H,13-14H,14-15H,15-16H,16-17H,17-18H,18-19H,19-20H,20-21H,21-22H,22-23H,23-24H,>=24H,總計
2021/02/01,4,2,5,4,1,2,0,0,1,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,29
2021/02/02,4,4,10,3,2,1,1,2,0,1,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,38
2021/02/03,2,7,4,3,0,0,0,0,1,1,4,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,28
2021/02/04,5,5,8,3,1,1,0,1,0,2,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,35
2021/02/05,5,1,7,5,3,0,1,0,2,3,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,34
2021/02/06,6,3,4,3,2,1,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,28
2021/02/07,1,1,6,1,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2021/02/08,1,5,2,1,0,1,4,0,0,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,25
2021/02/09,5,3,5,0,1,0,1,1,1,0,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,28
2021/02/10,3,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,16
2021/02/11,0,0,0,9,7,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
2021/02/12,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
2021/02/13,1,0,6,3,0,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,20
2021/02/14,1,0,2,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
2021/02/15,1,1,8,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
2021/02/16,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2021/02/17,4,4,2,6,1,0,0,0,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,26
2021/02/18,3,2,5,1,3,2,0,1,0,3,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,27
2021/02/19,3,7,5,4,1,0,3,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,33
2021/02/20,4,2,2,3,1,0,1,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20
2021/02/21,2,4,3,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20
2021/02/22,7,6,6,3,3,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33
2021/02/23,4,1,4,4,0,1,3,0,0,1,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,27
2021/02/24,0,3,6,1,1,1,0,2,1,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26
2021/02/25,4,6,4,1,2,1,1,0,0,1,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,29
2021/02/26,1,5,5,4,3,0,2,1,2,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,31
2021/02/27,3,4,4,3,1,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23
2021/02/28,2,3,0,3,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
總計,77,86,118,84,39,18,26,11,14,25,75,24,20,10,8,9,3,4,0,1,0,3,0,0,1,13,669
