日期／H,<0.5H,<1H,1-2H,2-3H,3-4H,4-5H,5-6H,6-7H,7-8H,8-9H,9-10H,10-11H,11-12H,12-13H,13-14H,14-15H,15-16H,16-17H,17-18H,18-19H,19-20H,20-21H,21-22H,22-23H,23-24H,>=24H,總計
2020/11/01,1,1,1,6,3,0,2,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,22
2020/11/02,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,15
2020/11/03,0,1,3,0,1,2,3,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2020/11/04,1,2,1,0,2,1,3,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,22
2020/11/05,2,0,1,3,0,2,0,2,3,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,21
2020/11/06,0,1,6,2,1,1,2,1,2,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,23
2020/11/07,0,1,11,6,4,2,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30
2020/11/08,5,2,5,5,3,2,2,2,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,37
2020/11/09,0,0,2,3,2,1,1,1,1,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,17
2020/11/10,0,0,1,3,1,4,1,0,5,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,23
2020/11/11,0,1,4,0,0,1,0,0,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,19
2020/11/12,1,1,6,2,4,0,0,2,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,24
2020/11/13,1,1,6,5,4,1,2,1,0,3,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,32
2020/11/14,1,5,9,3,2,2,0,1,1,1,1,3,3,0,1,2,0,1,0,0,0,0,0,0,0,3,39
2020/11/15,1,1,7,0,2,1,0,1,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,20
2020/11/16,2,1,1,1,2,1,3,1,0,4,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,2,24
2020/11/17,1,0,1,0,1,2,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,15
2020/11/18,1,1,2,0,1,0,1,2,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,17
2020/11/19,3,2,2,5,2,2,1,2,3,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,31
2020/11/20,1,0,3,4,2,2,1,2,1,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,23
2020/11/21,3,3,11,6,5,0,0,0,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,2,38
2020/11/22,1,0,2,4,6,0,4,1,3,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,27
2020/11/23,1,1,1,3,1,3,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,24
2020/11/24,1,2,0,2,4,1,0,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,19
2020/11/25,0,2,2,1,2,0,1,1,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,18
2020/11/26,0,1,4,2,0,1,1,0,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,19
2020/11/27,2,2,5,6,0,3,0,2,0,1,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,2,31
2020/11/28,1,3,5,1,3,1,3,1,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,29
2020/11/29,2,2,3,5,1,1,2,1,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,26
2020/11/30,2,0,2,4,3,2,1,2,2,1,2,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,27
總計,34,38,108,83,63,39,39,35,47,45,31,23,19,22,15,12,8,9,7,3,2,4,3,3,1,36,729
