日期／H,<0.5H,<1H,1-2H,2-3H,3-4H,4-5H,5-6H,6-7H,7-8H,8-9H,9-10H,10-11H,11-12H,12-13H,13-14H,14-15H,15-16H,16-17H,17-18H,18-19H,19-20H,20-21H,21-22H,22-23H,23-24H,>=24H,總計
2020/11/01,4,18,12,4,2,1,1,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50
2020/11/02,10,16,7,3,1,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,42
2020/11/03,6,12,8,2,1,3,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38
2020/11/04,6,8,4,3,3,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
2020/11/05,5,15,4,5,5,2,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,43
2020/11/06,4,14,10,6,2,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,42
2020/11/07,7,4,5,4,5,2,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32
2020/11/08,7,7,8,5,4,0,3,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,40
2020/11/09,14,20,7,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49
2020/11/10,6,10,5,4,3,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,35
2020/11/11,6,6,7,5,3,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,33
2020/11/12,9,14,6,4,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2020/11/13,13,12,8,2,3,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,44
2020/11/14,10,14,11,9,4,2,2,3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,59
2020/11/15,8,14,10,6,6,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2020/11/16,17,16,10,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50
2020/11/17,7,10,14,3,2,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,44
2020/11/18,7,9,3,3,2,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,34
2020/11/19,8,14,11,5,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,44
2020/11/20,7,11,12,7,2,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2020/11/21,8,23,11,6,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54
2020/11/22,6,7,12,7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37
2020/11/23,11,9,7,6,0,0,0,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,40
2020/11/24,10,12,5,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34
2020/11/25,3,8,7,3,2,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,32
2020/11/26,9,11,13,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,41
2020/11/27,11,13,3,7,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,41
2020/11/28,9,12,15,6,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50
2020/11/29,9,12,6,5,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,44
2020/11/30,4,15,9,4,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,38
總計,241,366,250,137,74,29,27,19,10,18,11,5,9,16,12,15,8,4,3,0,1,2,0,0,0,2,1259
