日期／時間,0-1點,1-2點,2-3點,3-4點,4-5點,5-6點,6-7點,7-8點,8-9點,9-10點,10-11點,11-12點,12-13點,13-14點,14-15點,15-16點,16-17點,17-18點,18-19點,19-20點,20-21點,21-22點,22-23點,23-24點,總計
2020/11/01,0,1,1,0,1,0,2,0,0,1,2,1,5,2,1,2,0,2,8,2,0,0,0,0,31
2020/11/02,2,0,0,0,0,0,1,4,4,0,0,1,1,0,1,2,0,1,1,1,0,0,0,0,19
2020/11/03,0,0,1,0,1,0,1,3,4,1,0,2,1,1,1,1,5,1,2,0,0,0,0,0,25
2020/11/04,1,0,0,0,1,1,0,3,6,1,2,0,0,1,2,0,0,1,4,0,1,0,1,0,25
2020/11/05,0,0,0,0,0,0,1,2,4,2,1,0,1,0,2,0,1,2,3,1,0,0,1,0,21
2020/11/06,1,0,0,0,1,0,1,5,2,2,1,1,0,2,1,0,1,0,2,10,1,0,0,1,32
2020/11/07,1,0,0,0,1,0,2,0,0,0,5,1,5,0,1,0,1,2,5,2,0,0,2,0,28
2020/11/08,1,0,0,0,0,0,3,0,0,2,4,2,1,1,1,0,0,1,4,2,1,2,1,0,26
2020/11/09,2,0,0,0,0,0,1,4,5,4,0,1,0,4,0,0,0,2,2,0,0,0,0,1,26
2020/11/10,0,0,0,0,0,0,1,5,6,2,0,2,0,1,0,1,0,3,2,0,0,0,0,0,23
2020/11/11,0,0,0,0,1,0,0,4,8,0,0,0,2,0,1,0,0,1,1,1,1,0,1,0,21
2020/11/12,0,0,0,1,0,0,1,4,4,0,0,0,1,1,0,0,1,3,5,1,1,0,0,2,25
2020/11/13,1,2,0,0,0,0,1,2,5,0,1,0,2,2,0,0,0,2,2,3,0,2,0,1,26
2020/11/14,0,0,0,0,0,6,2,0,2,1,1,1,0,1,0,0,1,1,2,0,2,0,1,1,22
2020/11/15,1,0,0,3,0,0,3,0,1,1,2,2,4,0,3,0,0,3,3,1,0,0,0,0,27
2020/11/16,1,0,2,0,1,0,2,1,3,2,1,0,0,2,2,0,0,1,0,0,0,0,0,1,19
2020/11/17,0,0,1,1,0,1,1,0,4,2,2,1,0,2,0,0,0,2,3,1,1,0,0,1,23
2020/11/18,0,0,0,0,0,0,1,4,1,1,0,0,3,0,1,0,0,0,3,0,0,0,0,2,16
2020/11/19,0,0,0,1,0,0,1,2,1,0,1,3,1,2,2,1,0,3,5,0,0,0,0,2,25
2020/11/20,1,0,0,1,0,0,2,2,1,4,1,0,1,4,2,1,0,1,5,1,0,0,1,0,28
2020/11/21,4,0,0,0,0,0,2,1,0,1,3,2,2,1,1,2,0,4,1,1,0,1,0,1,27
2020/11/22,3,0,0,1,0,0,1,0,2,0,2,3,1,2,1,0,0,4,1,0,0,0,0,0,21
2020/11/23,1,1,0,0,0,0,3,2,6,1,0,2,2,0,0,1,2,0,3,0,0,0,0,1,25
2020/11/24,0,0,0,0,0,0,2,5,5,1,1,1,3,0,1,1,0,0,2,1,0,0,0,0,23
2020/11/25,0,0,0,0,0,0,2,1,4,0,1,2,1,2,0,0,0,0,3,2,0,0,1,0,19
2020/11/26,1,0,1,0,0,0,1,2,3,1,0,1,1,0,1,0,0,1,0,3,1,0,0,0,17
2020/11/27,2,1,0,0,0,0,1,4,5,1,0,1,1,0,1,0,1,0,4,7,1,2,1,1,34
2020/11/28,1,0,0,1,0,1,2,0,1,1,3,2,3,3,2,1,1,5,4,0,0,0,0,2,33
2020/11/29,2,1,0,0,0,2,0,0,0,1,2,1,3,1,1,0,0,4,4,1,1,0,0,0,24
2020/11/30,1,0,0,0,0,0,1,4,1,1,0,1,3,1,0,1,0,1,1,0,0,0,0,0,16
總計,27,6,6,9,7,11,42,64,88,34,36,34,48,36,29,14,14,51,85,41,11,7,10,17,727
