日期／時間,0-1點,1-2點,2-3點,3-4點,4-5點,5-6點,6-7點,7-8點,8-9點,9-10點,10-11點,11-12點,12-13點,13-14點,14-15點,15-16點,16-17點,17-18點,18-19點,19-20點,20-21點,21-22點,22-23點,23-24點,總計
2021/02/01,0,0,0,0,0,0,2,7,4,3,2,1,1,1,2,2,1,0,2,0,0,1,0,0,29
2021/02/02,0,0,0,0,0,0,4,10,4,0,2,2,2,2,4,1,1,4,1,1,0,0,0,0,38
2021/02/03,0,0,0,0,0,0,1,6,6,4,1,1,0,2,2,2,2,0,0,0,0,0,0,1,28
2021/02/04,0,0,0,0,0,0,2,6,4,3,3,1,2,0,1,4,1,4,1,1,2,0,0,0,35
2021/02/05,1,0,1,0,0,0,0,7,5,3,3,0,2,3,1,4,0,1,0,2,0,1,0,2,36
2021/02/06,1,0,0,0,0,0,1,3,1,1,1,2,3,3,5,1,1,0,1,0,0,0,0,0,24
2021/02/07,0,0,0,0,0,0,0,3,0,0,0,2,2,3,0,1,2,3,1,0,1,0,0,0,18
2021/02/08,0,1,0,0,0,0,1,7,7,2,1,0,1,0,2,0,0,1,1,1,0,0,1,0,26
2021/02/09,0,0,0,0,0,1,2,3,4,3,3,1,1,2,0,0,1,1,3,1,1,1,0,0,28
2021/02/10,0,1,0,0,0,1,1,0,1,0,0,1,1,1,2,0,2,3,0,0,1,0,0,0,15
2021/02/11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,16,0,0,0,0,0,21
2021/02/12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5
2021/02/13,0,0,0,0,0,0,0,0,0,1,3,4,6,4,0,1,0,1,0,0,0,0,0,0,20
2021/02/14,2,0,0,0,1,0,0,0,0,1,0,1,3,1,1,0,0,1,0,0,0,0,0,0,11
2021/02/15,0,0,0,0,0,0,0,0,5,3,1,2,0,0,1,1,0,0,1,1,0,0,0,0,15
2021/02/16,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,9
2021/02/17,0,0,0,0,1,0,2,6,6,1,1,0,2,5,1,0,2,0,0,0,0,0,1,0,28
2021/02/18,0,0,0,0,0,1,1,7,4,0,2,0,0,1,4,2,3,1,0,0,0,0,0,0,26
2021/02/19,0,0,0,0,0,1,0,7,2,1,2,4,1,4,5,0,1,1,2,0,0,0,0,0,31
2021/02/20,1,0,0,0,0,1,0,6,2,1,0,1,1,0,1,1,2,2,0,2,0,0,0,0,21
2021/02/21,0,0,0,1,0,0,0,1,0,2,0,3,8,2,0,0,1,0,0,0,0,1,1,0,20
2021/02/22,0,0,0,2,0,1,1,7,3,2,3,2,2,3,4,1,3,0,0,0,2,0,0,0,36
2021/02/23,0,0,0,0,0,1,1,9,2,1,1,1,1,3,3,0,3,0,1,0,0,0,0,0,27
2021/02/24,0,0,0,0,0,1,1,8,4,2,1,1,1,2,1,2,0,1,0,0,0,0,0,0,25
2021/02/25,0,0,0,0,0,1,1,8,3,2,1,1,1,2,4,1,1,1,2,0,0,0,0,0,29
2021/02/26,0,0,0,0,0,1,0,8,2,2,0,1,3,1,4,2,3,2,0,1,0,0,0,0,30
2021/02/27,0,0,0,0,0,0,0,6,0,2,0,3,0,1,4,0,2,1,1,2,0,0,0,0,22
2021/02/28,0,0,0,0,0,0,0,1,0,1,3,0,0,2,1,1,2,1,1,1,0,0,0,0,14
總計,6,2,1,3,2,10,21,127,72,42,34,35,44,52,56,27,37,30,36,13,7,4,3,3,667
