日期／時間,0-1點,1-2點,2-3點,3-4點,4-5點,5-6點,6-7點,7-8點,8-9點,9-10點,10-11點,11-12點,12-13點,13-14點,14-15點,15-16點,16-17點,17-18點,18-19點,19-20點,20-21點,21-22點,22-23點,23-24點,總計
2020/11/01,0,0,0,0,0,0,0,0,0,2,2,1,0,5,2,0,3,1,2,2,1,0,1,2,24
2020/11/02,1,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8
2020/11/03,0,0,0,0,0,1,0,2,2,2,1,0,1,2,2,0,2,2,2,0,1,1,1,0,22
2020/11/04,1,1,0,0,0,0,0,2,4,2,0,0,2,0,1,2,1,0,2,1,1,0,0,0,20
2020/11/05,1,0,0,0,0,0,3,4,2,2,0,0,0,0,0,0,0,2,1,3,0,0,1,1,20
2020/11/06,0,1,0,0,0,0,1,3,3,3,0,1,0,4,1,0,0,2,3,0,0,0,1,0,23
2020/11/07,0,0,0,0,0,0,0,3,1,1,1,1,2,6,3,2,0,4,6,1,0,0,2,1,34
2020/11/08,0,1,0,0,0,0,0,1,3,2,4,0,5,4,2,3,0,2,2,1,1,0,1,0,32
2020/11/09,0,0,0,0,0,0,1,5,5,1,1,0,2,1,0,0,1,0,1,0,1,0,0,0,19
2020/11/10,0,0,0,0,0,0,0,1,3,5,4,1,1,2,0,0,0,2,2,1,0,1,0,0,23
2020/11/11,0,1,0,0,0,0,0,2,4,2,1,0,1,1,0,0,1,0,2,1,1,0,0,1,18
2020/11/12,0,0,0,0,0,1,1,0,2,5,1,0,1,2,2,1,3,2,2,2,0,2,0,1,28
2020/11/13,1,0,0,0,0,0,0,3,4,3,3,1,1,3,1,0,1,1,4,2,1,2,2,1,34
2020/11/14,1,0,0,0,1,0,0,3,3,3,3,1,3,1,2,2,1,1,0,4,1,1,0,2,33
2020/11/15,0,0,0,1,1,0,0,1,4,2,0,2,2,4,0,3,1,0,1,1,0,1,1,1,26
2020/11/16,1,0,1,0,0,0,0,4,2,1,2,0,1,2,2,0,1,0,0,1,1,1,0,0,20
2020/11/17,1,0,0,0,0,0,0,2,1,1,0,1,2,0,0,1,1,1,0,1,1,0,1,0,14
2020/11/18,1,0,0,0,0,0,0,5,4,0,0,1,0,0,1,0,0,2,0,0,0,1,1,1,17
2020/11/19,0,0,0,0,0,0,1,1,7,1,5,0,2,1,1,1,1,2,0,2,3,3,0,4,35
2020/11/20,0,1,1,0,0,0,0,3,3,2,2,0,0,1,3,0,0,2,1,1,1,0,2,0,23
2020/11/21,2,0,0,0,0,0,0,0,4,4,0,3,3,1,1,2,4,2,4,3,2,1,3,0,39
2020/11/22,2,1,0,0,0,0,1,0,0,4,1,0,3,2,3,1,0,2,0,3,0,1,1,2,27
2020/11/23,2,0,1,0,0,0,1,3,4,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,18
2020/11/24,1,0,0,0,1,0,0,3,3,1,1,0,3,1,1,0,0,2,1,1,0,1,2,1,23
2020/11/25,2,0,1,0,0,0,1,3,0,0,1,0,0,0,2,0,0,1,2,0,1,1,0,1,16
2020/11/26,0,0,0,0,0,1,1,3,3,1,1,0,0,1,0,0,2,0,0,3,0,0,6,1,23
2020/11/27,0,0,0,0,1,0,0,2,3,2,0,1,0,1,1,0,2,2,5,3,1,1,0,0,25
2020/11/28,2,0,0,0,0,0,1,3,0,2,3,2,1,3,3,1,1,4,1,0,1,1,0,1,30
2020/11/29,0,0,0,1,0,0,0,0,1,4,2,0,3,0,1,3,2,1,2,2,1,1,0,1,25
2020/11/30,2,0,0,1,0,0,0,4,2,4,0,2,1,0,1,1,1,1,0,2,0,1,0,0,23
總計,21,6,4,3,4,3,12,68,78,64,41,18,41,49,36,24,30,42,46,42,20,22,26,22,722
