日期／時間,0-1點,1-2點,2-3點,3-4點,4-5點,5-6點,6-7點,7-8點,8-9點,9-10點,10-11點,11-12點,12-13點,13-14點,14-15點,15-16點,16-17點,17-18點,18-19點,19-20點,20-21點,21-22點,22-23點,23-24點,總計
2020/11/01,0,0,1,0,0,1,1,1,1,4,1,1,2,0,1,0,1,2,4,3,1,2,0,1,28
2020/11/02,1,0,0,0,0,0,0,0,4,2,6,3,3,1,3,3,2,1,1,1,3,1,0,0,35
2020/11/03,0,0,0,0,0,0,0,0,4,2,1,4,2,2,1,0,0,1,3,2,3,1,0,1,27
2020/11/04,0,0,1,0,0,0,0,1,5,3,3,2,1,5,3,0,0,1,5,2,3,3,0,0,38
2020/11/05,0,0,0,0,0,0,0,1,2,2,2,3,3,4,1,2,1,0,3,6,1,0,1,0,32
2020/11/06,0,0,0,0,0,0,1,2,1,0,5,3,0,1,1,5,1,3,5,5,0,4,2,0,39
2020/11/07,0,0,0,1,0,0,0,0,3,0,3,3,4,1,3,4,2,3,5,3,3,1,0,1,40
2020/11/08,1,1,0,0,0,0,0,0,1,1,3,3,4,2,4,3,2,1,3,3,1,0,0,0,33
2020/11/09,1,0,0,1,0,0,0,0,2,2,3,6,1,2,1,4,3,2,3,4,4,1,2,0,42
2020/11/10,0,0,1,0,0,0,1,1,0,1,1,6,4,1,4,1,0,1,4,3,0,2,0,0,31
2020/11/11,0,0,0,1,0,1,0,0,3,0,1,4,2,4,3,2,4,0,4,5,2,1,0,0,37
2020/11/12,0,0,0,0,0,0,0,2,3,2,3,1,1,3,4,3,5,4,4,3,4,1,0,0,43
2020/11/13,0,0,1,0,0,0,1,0,5,4,1,0,0,1,0,2,3,2,5,6,1,2,3,0,37
2020/11/14,0,0,1,0,0,1,1,1,2,2,2,5,3,2,3,0,2,7,2,3,3,0,0,1,41
2020/11/15,1,0,1,0,1,0,0,0,0,1,4,3,3,5,1,1,0,4,4,3,1,2,0,1,36
2020/11/16,0,0,0,0,0,0,0,0,2,1,3,3,5,2,4,2,1,2,1,4,1,1,1,0,33
2020/11/17,0,0,0,0,0,0,0,0,2,0,4,0,5,3,3,3,2,2,4,4,0,0,2,0,34
2020/11/18,0,0,0,0,0,0,0,0,4,2,6,4,3,3,1,4,1,2,4,1,0,2,0,0,37
2020/11/19,0,0,0,0,0,0,0,2,0,10,0,2,0,5,1,2,1,3,3,2,4,2,0,0,37
2020/11/20,0,0,0,0,0,0,0,1,2,5,1,2,2,1,0,0,2,3,2,7,3,2,2,0,35
2020/11/21,0,0,0,0,0,0,0,0,0,2,2,6,4,5,1,1,2,7,4,2,4,3,2,0,45
2020/11/22,2,1,0,0,0,0,0,2,0,2,0,2,6,0,3,3,2,4,3,1,2,0,0,1,34
2020/11/23,0,0,0,0,0,0,1,2,2,2,0,5,1,2,1,2,1,3,2,1,1,2,0,0,28
2020/11/24,1,0,0,0,0,0,1,1,1,3,4,1,6,4,5,3,4,0,1,4,2,0,0,0,41
2020/11/25,0,0,0,0,0,1,0,1,2,4,4,0,1,1,3,5,2,1,3,9,3,0,1,0,41
2020/11/26,0,0,0,0,0,0,1,4,0,3,2,1,1,2,4,2,5,1,2,8,1,1,0,1,39
2020/11/27,0,0,0,0,0,0,0,1,1,3,2,2,5,0,3,3,2,1,3,8,2,0,0,0,36
2020/11/28,0,0,0,0,0,0,0,1,0,3,4,7,4,5,2,3,3,7,5,2,4,0,4,0,54
2020/11/29,2,1,0,0,0,0,0,1,1,2,3,2,3,2,1,2,1,3,2,1,3,1,0,0,31
2020/11/30,0,1,0,0,0,0,0,1,1,2,0,3,2,1,3,4,3,1,6,5,3,0,0,0,36
總計,9,4,6,3,1,4,8,26,54,70,74,87,81,70,68,69,58,72,100,111,63,35,20,7,1100
