日期／時間,0-1點,1-2點,2-3點,3-4點,4-5點,5-6點,6-7點,7-8點,8-9點,9-10點,10-11點,11-12點,12-13點,13-14點,14-15點,15-16點,16-17點,17-18點,18-19點,19-20點,20-21點,21-22點,22-23點,23-24點,總計
2020/11/01,2,1,0,0,0,2,1,0,1,6,1,1,1,7,2,4,3,4,5,5,2,0,0,0,48
2020/11/02,0,0,0,0,0,0,0,0,3,2,2,1,5,6,3,3,3,4,3,5,1,0,0,0,41
2020/11/03,0,0,0,0,0,0,1,2,1,1,2,3,3,3,0,3,4,3,4,6,2,0,0,1,39
2020/11/04,0,0,1,0,0,0,1,3,3,0,4,0,5,3,1,0,2,1,5,3,0,0,0,0,32
2020/11/05,1,0,0,0,0,1,0,1,2,2,2,3,5,2,1,1,2,6,5,4,2,1,0,0,41
2020/11/06,0,1,0,0,1,0,0,0,0,4,5,2,4,3,3,5,2,0,5,4,2,1,0,0,42
2020/11/07,1,1,0,0,0,0,0,1,1,3,4,4,2,1,3,2,0,4,4,2,1,1,1,0,36
2020/11/08,2,0,0,0,0,0,2,2,1,3,0,2,4,1,2,4,3,4,2,4,1,0,0,0,37
2020/11/09,0,0,0,0,0,0,1,0,2,5,2,3,6,3,4,4,2,5,3,6,3,1,0,0,50
2020/11/10,0,0,1,0,0,1,0,0,0,2,2,3,3,4,2,3,1,2,5,4,1,0,0,0,34
2020/11/11,0,0,0,0,0,1,0,0,4,2,3,2,3,2,2,0,5,1,2,4,1,0,1,0,33
2020/11/12,0,0,0,0,0,1,0,1,4,1,2,1,6,1,3,2,2,2,5,7,2,0,0,0,40
2020/11/13,0,0,1,0,0,1,0,0,4,3,4,1,5,4,2,3,2,4,7,4,0,2,2,0,49
2020/11/14,0,1,0,0,0,1,1,0,4,2,1,4,5,7,5,3,2,5,6,3,2,1,1,0,54
2020/11/15,1,0,1,0,0,0,1,1,2,1,4,5,3,3,4,4,6,2,6,5,2,1,1,0,53
2020/11/16,0,0,1,0,0,1,0,0,0,2,4,4,9,2,4,7,3,2,5,4,3,0,1,0,52
2020/11/17,0,0,0,1,0,1,0,0,2,2,2,0,6,3,2,3,1,2,6,5,7,1,1,0,45
2020/11/18,0,1,0,0,0,1,0,0,3,2,2,0,1,2,2,0,0,3,7,3,4,0,0,0,31
2020/11/19,0,0,0,0,0,1,0,2,1,0,8,3,3,1,5,3,3,4,3,5,2,0,1,0,45
2020/11/20,0,0,0,0,0,0,0,2,1,4,1,4,4,0,4,3,6,0,6,5,4,1,0,0,45
2020/11/21,0,0,0,0,0,2,0,1,1,4,2,6,6,7,3,2,5,4,3,5,3,0,1,0,55
2020/11/22,0,0,0,0,0,0,0,1,0,2,3,3,1,2,2,2,3,3,6,7,1,0,0,0,36
2020/11/23,0,0,1,0,0,0,0,0,1,1,2,3,4,3,2,3,3,3,7,3,2,1,0,0,39
2020/11/24,0,0,0,0,0,1,0,1,0,2,0,4,6,5,3,1,1,3,3,1,3,0,1,0,35
2020/11/25,0,0,0,1,0,2,0,1,4,0,3,1,3,2,3,1,4,1,2,2,0,0,0,0,30
2020/11/26,0,1,0,0,0,1,0,0,0,1,4,5,4,4,3,6,3,3,2,4,0,0,0,0,41
2020/11/27,0,1,0,0,0,1,0,1,1,1,3,6,2,0,3,5,1,6,6,3,2,0,1,1,44
2020/11/28,0,0,0,0,0,0,0,0,0,5,2,5,7,5,3,3,2,8,1,3,2,0,2,0,48
2020/11/29,0,1,0,0,0,0,0,1,0,5,5,3,3,1,2,4,3,5,5,3,2,0,1,0,44
2020/11/30,0,0,0,0,0,0,1,2,1,2,2,4,2,1,4,5,3,2,3,2,2,1,0,0,37
總計,7,8,6,2,1,19,9,23,47,70,81,86,121,88,82,89,80,96,132,121,59,12,15,2,1256
