停車票號,入場時間,出場時間,發票號碼,收費金額
2020103023132473,2020/10/30 23:13:00,2020/11/01 00:46:31,56945764,150
2020103113042486,2020/10/31 13:04:00,2020/11/01 00:48:48,,130
2020103117242493,2020/10/31 17:24:00,2020/11/01 00:49:18,,130
2020110104572509,2020/11/01 04:57:00,2020/11/01 05:01:09,56945765,30
2020110110032513,2020/11/01 10:03:00,2020/11/01 10:34:37,,30
2020103123232506,2020/10/31 23:23:00,2020/11/01 12:08:50,,130
2020110110142514,2020/11/01 10:14:00,2020/11/01 12:49:29,,90
2020103016492462,2020/10/30 16:49:00,2020/11/01 12:54:53,56945766,260
2020110112222516,2020/11/01 12:22:00,2020/11/01 13:14:05,,30
2020110112352517,2020/11/01 12:35:00,2020/11/01 13:14:35,56945767,30
2020110109502512,2020/11/01 09:50:00,2020/11/01 13:42:29,,100
2020110113222521,2020/11/01 13:22:00,2020/11/01 14:02:24,,30
2020110112402518,2020/11/01 12:40:00,2020/11/01 14:20:06,,60
2020110114092523,2020/11/01 14:09:00,2020/11/01 14:35:31,56945768,30
2020110113272522,2020/11/01 13:27:00,2020/11/01 15:15:56,,60
2020103123062505,2020/10/31 23:06:00,2020/11/01 15:32:28,,130
2020103122102503,2020/10/31 22:10:00,2020/11/01 15:37:04,56945769,160
2020110101302507,2020/11/01 01:30:00,2020/11/01 15:54:55,,100
2020103115572492,2020/10/31 15:57:00,2020/11/01 15:57:20,,200
2020110112562520,2020/11/01 12:56:00,2020/11/01 15:58:40,,100
2020110115262524,2020/11/01 15:26:00,2020/11/01 16:27:33,,45
2020110106202510,2020/11/01 06:20:00,2020/11/01 16:35:43,,100
2020110111012515,2020/11/01 11:01:00,2020/11/01 16:40:51,56945770,100
2020110117102527,2020/11/01 17:10:00,2020/11/01 17:51:45,56945771,30
2020110106422511,2020/11/01 06:42:00,2020/11/01 18:24:36,56945772,100
2020110118142533,2020/11/01 18:14:00,2020/11/01 19:11:16,56945773,30
2020110118222534,2020/11/01 18:22:00,2020/11/01 19:51:39,56945774,45
2020110102372508,2020/11/01 02:37:00,2020/11/01 19:52:08,,100
2020110118102531,2020/11/01 18:10:00,2020/11/01 20:00:07,56945775,60
2020110118052530,2020/11/01 18:05:00,2020/11/01 20:00:32,56945776,60
2020110118512535,2020/11/01 18:51:00,2020/11/01 20:07:10,,45
2020110118042528,2020/11/01 18:04:00,2020/11/01 20:38:52,,90
2020110118052529,2020/11/01 18:05:00,2020/11/01 20:39:24,56945777,90
2020110117042526,2020/11/01 17:04:00,2020/11/01 21:07:15,56945778,100
2020103119442501,2020/10/31 19:44:00,2020/11/01 21:29:50,56945779,200
2020110115402525,2020/11/01 15:40:00,2020/11/01 23:16:27,56945780,100
2020110119462537,2020/11/01 19:46:00,2020/11/02 07:41:14,56945781,160
2020110200152538,2020/11/02 00:15:00,2020/11/02 11:13:25,,60
2020103119452502,2020/10/31 19:45:00,2020/11/02 11:14:08,56945782,260
2020110208242548,2020/11/02 08:24:00,2020/11/02 11:38:26,56945783,60
2020110200152539,2020/11/02 00:15:00,2020/11/02 12:31:23,56945784,60
2020110118132532,2020/11/01 18:13:00,2020/11/02 13:22:05,,160
2020110112502519,2020/11/01 12:50:00,2020/11/02 15:31:48,,160
2020110208152547,2020/11/02 08:15:00,2020/11/02 15:38:16,,60
2020110206202540,2020/11/02 06:20:00,2020/11/02 16:34:14,,60
2020110211162549,2020/11/02 11:16:00,2020/11/02 16:34:27,,60
2020110207402542,2020/11/02 07:40:00,2020/11/02 17:15:43,56945785,60
2020110217062554,2020/11/02 17:06:00,2020/11/02 17:18:21,,20
2020110208082546,2020/11/02 08:08:00,2020/11/02 18:12:55,56945786,60
2020110207512544,2020/11/02 07:51:00,2020/11/02 18:20:53,56945787,60
2020110208042545,2020/11/02 08:04:00,2020/11/02 18:27:50,56945788,60
2020110207352541,2020/11/02 07:35:00,2020/11/02 18:52:57,56945789,60
2020110215562553,2020/11/02 15:56:00,2020/11/02 18:59:12,,60
2020110218152555,2020/11/02 18:15:00,2020/11/02 19:42:23,,30
2020110207422543,2020/11/02 07:42:00,2020/11/02 20:03:31,56945790,60
2020110214162551,2020/11/02 14:16:00,2020/11/02 21:41:26,,60
2020110215432552,2020/11/02 15:43:00,2020/11/02 22:39:51,,60
2020102602532340,2020/10/26 02:53:00,2020/11/03 01:24:33,56945791,590
2020110212382550,2020/11/02 12:38:00,2020/11/03 07:36:34,,120
2020110302242557,2020/11/03 02:24:00,2020/11/03 12:49:23,56945792,60
2020110308052565,2020/11/03 08:05:00,2020/11/03 13:06:23,56945793,60
