停車票號,入場時間,出場時間,發票號碼,收費金額
2021013013573438,2021/01/30 13:57:00,2021/02/01 07:41:28,未開發票,450
2021020109123512,2021/02/01 09:12:00,2021/02/01 09:58:06,未開發票,30
2021020109133513,2021/02/01 09:13:00,2021/02/01 10:25:35,56697129,45
2021020109043511,2021/02/01 09:04:00,2021/02/01 11:05:23,56697130,75
2021020108243509,2021/02/01 08:24:00,2021/02/01 11:13:31,56697131,90
2021020110483515,2021/02/01 10:48:00,2021/02/01 11:14:33,56697132,15
2021020106573499,2021/02/01 06:57:00,2021/02/01 11:36:04,56697133,150
2021020110093514,2021/02/01 10:09:00,2021/02/01 11:52:05,56697134,60
2021020108163508,2021/02/01 08:16:00,2021/02/01 12:00:02,56697135,120
2021020111393516,2021/02/01 11:39:00,2021/02/01 12:19:39,56697136,30
2021020112223517,2021/02/01 12:22:00,2021/02/01 12:42:51,未開發票,15
2021020107073500,2021/02/01 07:07:00,2021/02/01 14:08:59,56697137,150
2021020114243520,2021/02/01 14:24:00,2021/02/01 14:41:47,未開發票,15
2021020114163519,2021/02/01 14:16:00,2021/02/01 15:26:29,56697138,45
2021020116263523,2021/02/01 16:26:00,2021/02/01 16:45:37,56697139,15
2021020108143507,2021/02/01 08:14:00,2021/02/01 17:01:44,56697140,150
2021020115143522,2021/02/01 15:14:00,2021/02/01 17:02:22,56697141,60
2021020107533506,2021/02/01 07:53:00,2021/02/01 17:02:56,56697142,150
2021020107423503,2021/02/01 07:42:00,2021/02/01 17:11:59,56697143,150
2021020107363502,2021/02/01 07:36:00,2021/02/01 17:13:27,56697144,150
2021020115073521,2021/02/01 15:07:00,2021/02/01 17:18:36,未開發票,75
2021020107493504,2021/02/01 07:49:00,2021/02/01 17:33:29,56697145,150
2021020113553518,2021/02/01 13:55:00,2021/02/01 18:09:49,56697146,135
2021020107103501,2021/02/01 07:10:00,2021/02/01 18:10:30,未開發票,150
2021020106063498,2021/02/01 06:06:00,2021/02/01 19:00:58,未開發票,150
2021020107493505,2021/02/01 07:49:00,2021/02/01 19:06:05,56697147,150
2021020118133524,2021/02/01 18:13:00,2021/02/01 19:20:31,56697148,45
2021020108383510,2021/02/01 08:38:00,2021/02/01 19:37:57,56697149,150
