停車票號,入場時間,出場時間,發票號碼,收費金額
2020103119549747,2020/10/31 19:54:00,2020/11/01 08:22:20,56937265,190
2020110110439754,2020/11/01 10:43:00,2020/11/01 11:18:31,,20
2020110110139753,2020/11/01 10:13:00,2020/11/01 12:17:59,56937266,50
2020103116279737,2020/10/31 16:27:00,2020/11/01 13:50:11,56937267,200
2020103012229706,2020/10/30 12:22:00,2020/11/01 14:12:23,56937268,260
2020110113149756,2020/11/01 13:14:00,2020/11/01 15:37:53,,50
2020110114359762,2020/11/01 14:35:00,2020/11/01 16:41:02,,50
2020110109109751,2020/11/01 09:10:00,2020/11/01 16:44:05,,100
2020110113339758,2020/11/01 13:33:00,2020/11/01 17:29:40,56937269,80
2020110114289761,2020/11/01 14:28:00,2020/11/01 17:51:48,,70
2020110116209764,2020/11/01 16:20:00,2020/11/01 18:14:28,56937270,40
2020110113329757,2020/11/01 13:32:00,2020/11/01 18:36:57,56937271,100
2020110116559765,2020/11/01 16:55:00,2020/11/01 19:10:01,,50
2020110113479759,2020/11/01 13:47:00,2020/11/01 19:37:10,56937272,100
2020110111079755,2020/11/01 11:07:00,2020/11/01 19:47:04,,100
2020110117039766,2020/11/01 17:03:00,2020/11/01 19:52:59,56937273,60
2020110116059763,2020/11/01 16:05:00,2020/11/01 19:56:44,56937274,80
2020110119559770,2020/11/01 19:55:00,2020/11/01 20:22:27,,10
2020103121179749,2020/10/31 21:17:00,2020/11/01 20:43:46,,160
2020110118099767,2020/11/01 18:09:00,2020/11/01 20:52:34,56937275,60
2020110113589760,2020/11/01 13:58:00,2020/11/01 22:07:51,,100
2020110109219752,2020/11/01 09:21:00,2020/11/01 23:40:54,56937276,100
2020110122089772,2020/11/01 22:08:00,2020/11/02 06:53:09,56937277,100
2020103117569743,2020/10/31 17:56:00,2020/11/02 07:34:33,56937278,260
2020110123039773,2020/11/01 23:03:00,2020/11/02 08:39:04,56937279,80
2020110118379768,2020/11/01 18:37:00,2020/11/02 08:59:40,56937280,160
2020103122099750,2020/10/31 22:09:00,2020/11/02 09:32:20,,200
2020110210319788,2020/11/02 10:31:00,2020/11/02 11:42:26,56937281,30
2020110209529787,2020/11/02 09:52:00,2020/11/02 11:55:39,56937282,50
2020110208539784,2020/11/02 08:53:00,2020/11/02 12:00:12,56937283,60
2020110119309769,2020/11/01 19:30:00,2020/11/02 12:05:26,56937284,150
2020110212189790,2020/11/02 12:18:00,2020/11/02 12:56:54,56937285,20
2020110207369780,2020/11/02 07:36:00,2020/11/02 13:06:47,56937286,60
2020110200319775,2020/11/02 00:31:00,2020/11/02 14:07:27,56937287,60
2020110120279771,2020/11/01 20:27:00,2020/11/02 14:35:17,,140
2020110123359774,2020/11/01 23:35:00,2020/11/02 14:35:36,,70
2020110207309779,2020/11/02 07:30:00,2020/11/02 14:42:41,56937288,60
2020110313119810,2020/11/03 13:11:00,2020/11/03 14:48:06,,40
2020110314049813,2020/11/03 14:04:00,2020/11/03 15:06:51,56937304,30
2020110309549807,2020/11/03 09:54:00,2020/11/03 15:11:56,56937305,60
2020110308369805,2020/11/03 08:36:00,2020/11/03 15:17:10,56937306,60
2020110309299806,2020/11/03 09:29:00,2020/11/03 16:26:35,56937307,60
2020110305419800,2020/11/03 05:41:00,2020/11/03 16:31:43,56937308,60
2020110307129801,2020/11/03 07:12:00,2020/11/03 16:42:17,56937309,60
2020110308259804,2020/11/03 08:25:00,2020/11/03 17:49:04,56937310,60
2020110312509809,2020/11/03 12:50:00,2020/11/03 18:09:21,56937311,60
2020110316189814,2020/11/03 16:18:00,2020/11/03 18:13:38,56937312,40
2020110307499802,2020/11/03 07:49:00,2020/11/03 18:24:49,56937313,60
2020110310379808,2020/11/03 10:37:00,2020/11/03 18:48:21,56937314,60
2020110314039812,2020/11/03 14:03:00,2020/11/03 19:23:23,56937315,60
2020110316509815,2020/11/03 16:50:00,2020/11/03 20:36:50,,60
2020110320129820,2020/11/03 20:12:00,2020/11/03 20:49:01,,20
2020110317469817,2020/11/03 17:46:00,2020/11/03 22:06:24,56937316,60
2020110318369819,2020/11/03 18:36:00,2020/11/03 23:12:44,56937317,60
2020110401149824,2020/11/04 01:14:00,2020/11/04 01:15:57,56937318,10
2020110221539798,2020/11/02 21:53:00,2020/11/04 03:40:16,,170
2020110318359818,2020/11/03 18:35:00,2020/11/04 05:26:34,56937319,120
2020110321559821,2020/11/03 21:55:00,2020/11/04 09:49:37,56937320,110
2020110322049822,2020/11/03 22:04:00,2020/11/04 10:20:51,,100
2020110317459816,2020/11/03 17:45:00,2020/11/04 10:24:06,,120
2020110409529832,2020/11/04 09:52:00,2020/11/04 10:44:08,,20
2020110313529811,2020/11/03 13:52:00,2020/11/04 10:45:37,56937321,120
2020110412529834,2020/11/04 12:52:00,2020/11/04 13:32:25,,20
2020110408109828,2020/11/04 08:10:00,2020/11/04 13:33:27,56937322,60
2020110408099827,2020/11/04 08:09:00,2020/11/04 13:53:12,56937323,60
2020110408399830,2020/11/04 08:39:00,2020/11/04 14:10:20,56937324,60
2020110407179825,2020/11/04 07:17:00,2020/11/04 14:14:25,56937325,60
2020110407249826,2020/11/04 07:24:00,2020/11/04 14:17:48,56937326,60
2020110409179831,2020/11/04 09:17:00,2020/11/04 17:06:25,56937327,60
2020110416379838,2020/11/04 16:37:00,2020/11/04 19:37:57,56937328,60
2020110415549837,2020/11/04 15:54:00,2020/11/04 19:55:16,56937329,60
2020110418209839,2020/11/04 18:20:00,2020/11/04 19:55:48,56937330,40
2020110412389833,2020/11/04 12:38:00,2020/11/04 22:31:06,,60
2020110400259823,2020/11/04 00:25:00,2020/11/04 22:48:09,56937331,60
2020110415099836,2020/11/04 15:09:00,2020/11/04 23:40:20,56937332,60
2020110420199842,2020/11/04 20:19:00,2020/11/04 23:52:52,56937333,60
2020110500169843,2020/11/05 00:16:00,2020/11/05 00:25:39,,10
2020110418469840,2020/11/04 18:46:00,2020/11/05 01:06:59,,80
2020110414519835,2020/11/04 14:51:00,2020/11/05 06:43:58,56937334,120
2020110408119829,2020/11/04 08:11:00,2020/11/05 08:45:53,56937335,120
2020110419279841,2020/11/04 19:27:00,2020/11/05 08:53:11,,120
2020110509109853,2020/11/05 09:10:00,2020/11/05 09:28:50,56937336,10
2020110506409844,2020/11/05 06:40:00,2020/11/05 09:30:46,56937337,60
2020110507579850,2020/11/05 07:57:00,2020/11/05 10:25:12,,50
2020102915009687,2020/10/29 15:00:00,2020/11/05 11:47:13,,560
2020110507309849,2020/11/05 07:30:00,2020/11/05 14:27:40,56937338,60
2020110506549845,2020/11/05 06:54:00,2020/11/05 14:39:53,56937339,60
2020110506559846,2020/11/05 06:55:00,2020/11/05 14:46:28,,60
2020110507119847,2020/11/05 07:11:00,2020/11/05 14:53:02,56937340,60
2020110508179852,2020/11/05 08:17:00,2020/11/05 17:45:07,56937341,60
2020110509509854,2020/11/05 09:50:00,2020/11/05 19:59:53,56937342,60
2020110507279848,2020/11/05 07:27:00,2020/11/05 20:06:33,,60
2020110519079858,2020/11/05 19:07:00,2020/11/05 20:13:04,56937343,30
2020110508019851,2020/11/05 08:01:00,2020/11/05 20:41:32,56937344,60
2020110517089855,2020/11/05 17:08:00,2020/11/05 22:03:44,,60
2020110519599860,2020/11/05 19:59:00,2020/11/05 22:06:50,56937345,50
2020110518569857,2020/11/05 18:56:00,2020/11/05 23:07:45,,60
2020110522349861,2020/11/05 22:34:00,2020/11/06 00:10:10,56937346,40
2020110517309856,2020/11/05 17:30:00,2020/11/06 01:57:32,56937347,100
2020110601159863,2020/11/06 01:15:00,2020/11/06 09:05:36,,60
2020110608009868,2020/11/06 08:00:00,2020/11/06 11:20:01,,60
2020110607599867,2020/11/06 07:59:00,2020/11/06 13:31:35,56937348,60
2020110613199876,2020/11/06 13:19:00,2020/11/06 14:01:38,56937349,20
2020110607249865,2020/11/06 07:24:00,2020/11/06 14:10:04,56937350,60
2020110519129859,2020/11/05 19:12:00,2020/11/06 14:25:24,56937351,120
2020110613109875,2020/11/06 13:10:00,2020/11/06 14:38:15,56937352,30
2020110609319873,2020/11/06 09:31:00,2020/11/06 14:46:18,,60
2020110613479877,2020/11/06 13:47:00,2020/11/06 14:58:41,56937353,30
2020110613519878,2020/11/06 13:51:00,2020/11/06 15:43:26,,40
2020110607279866,2020/11/06 07:27:00,2020/11/06 16:12:38,56937354,60
2020110614509879,2020/11/06 14:50:00,2020/11/06 17:13:29,56937355,50
2020110608219870,2020/11/06 08:21:00,2020/11/06 17:49:51,56937356,60
2020110617269880,2020/11/06 17:26:00,2020/11/06 18:57:55,56937357,40
2020110611309874,2020/11/06 11:30:00,2020/11/06 19:19:54,56937358,60
2020110608059869,2020/11/06 08:05:00,2020/11/06 20:17:38,56937359,60
2020110618539884,2020/11/06 18:53:00,2020/11/06 20:38:52,56937360,40
2020110618449883,2020/11/06 18:44:00,2020/11/06 21:28:13,,60
2020110609279872,2020/11/06 09:27:00,2020/11/06 23:01:43,56937361,60
2020110609039871,2020/11/06 09:03:00,2020/11/06 23:14:22,,60
2020110618589885,2020/11/06 18:58:00,2020/11/06 23:26:34,56937362,60
2020110617399881,2020/11/06 17:39:00,2020/11/07 01:52:28,,100
2020110707149887,2020/11/07 07:14:00,2020/11/07 09:00:06,56937363,40
2020110707219888,2020/11/07 07:21:00,2020/11/07 09:40:07,56937364,50
2020110707489889,2020/11/07 07:48:00,2020/11/07 10:44:46,56937365,60
2020110711339893,2020/11/07 11:33:00,2020/11/07 12:17:52,56937366,20
2020110710429892,2020/11/07 10:42:00,2020/11/07 13:50:33,,70
2020110708519890,2020/11/07 08:51:00,2020/11/07 13:51:02,,100
2020110713049896,2020/11/07 13:04:00,2020/11/07 14:06:49,56937367,30
2020110712419895,2020/11/07 12:41:00,2020/11/07 14:16:49,56937368,40
2020110709219891,2020/11/07 09:21:00,2020/11/07 14:29:19,,100
2020110713129897,2020/11/07 13:12:00,2020/11/07 14:31:11,56937369,30
2020110714009902,2020/11/07 14:00:00,2020/11/07 15:03:53,56937370,30
2020110713409900,2020/11/07 13:40:00,2020/11/07 15:07:51,,30
2020110712299894,2020/11/07 12:29:00,2020/11/07 15:37:55,56937371,70
2020110714459904,2020/11/07 14:45:00,2020/11/07 15:48:41,56937372,30
2020110713449901,2020/11/07 13:44:00,2020/11/07 15:51:24,56937373,50
2020110622069886,2020/11/06 22:06:00,2020/11/07 16:09:40,56937374,140
2020110714449903,2020/11/07 14:44:00,2020/11/07 16:37:28,56937375,40
2020110713249898,2020/11/07 13:24:00,2020/11/07 16:41:33,56937376,70
2020110715479906,2020/11/07 15:47:00,2020/11/07 17:07:04,,30
2020110717459909,2020/11/07 17:45:00,2020/11/07 19:13:55,56937377,30
2020110717529910,2020/11/07 17:52:00,2020/11/07 19:48:35,,40
